Frequency (Hz)	Level (dB)
842.285156	-67.739693
843.017578	-67.062195
843.750000	-68.756104
844.482422	-68.631424
845.214844	-66.350555
845.947266	-67.870720
846.679688	-68.223785
847.412109	-66.742157
848.144531	-68.129593
848.876953	-69.639038
849.609375	-67.560760
850.341797	-69.328758
851.074219	-68.231552
851.806641	-68.029480
852.539062	-68.198792
853.271484	-68.780106
854.003906	-69.616013
854.736328	-68.831673
855.468750	-69.205719
856.201172	-69.161171
856.933594	-69.377113
857.666016	-69.785088
858.398438	-69.657448
859.130859	-70.301353
859.863281	-69.527359
860.595703	-69.954956
861.328125	-71.732643
862.060547	-70.806702
862.792969	-70.994896
863.525391	-69.739624
864.257812	-70.102554
864.990234	-68.894905
865.722656	-68.495132
866.455078	-72.413002
867.187500	-71.283516
867.919922	-71.021866
868.652344	-71.974426
869.384766	-68.976097
870.117188	-69.516808
870.849609	-69.729652
871.582031	-70.611069
872.314453	-70.740196
873.046875	-70.082932
873.779297	-72.295189
874.511719	-72.729813
875.244141	-71.174782
875.976562	-71.991005
876.708984	-72.212761
877.441406	-73.554855
878.173828	-72.385551
878.906250	-73.748848
879.638672	-72.518486
880.371094	-72.879272
881.103516	-70.928162
881.835938	-70.220169
882.568359	-70.302086
883.300781	-71.696037
884.033203	-72.291756
884.765625	-73.803192
885.498047	-72.173286
886.230469	-70.272652
886.962891	-72.418945
887.695312	-70.209518
888.427734	-70.487022
889.160156	-71.723679
889.892578	-71.618729
890.625000	-71.269539
891.357422	-72.389984
892.089844	-71.922234
892.822266	-71.489693
893.554688	-71.793297
894.287109	-69.727661
895.019531	-69.605453
895.751953	-71.650459
896.484375	-70.664970
897.216797	-70.415359
897.949219	-70.977692
898.681641	-70.958725
899.414062	-70.594086
900.146484	-71.172874
900.878906	-69.136154
901.611328	-70.029869
902.343750	-69.595306
903.076172	-69.084885
903.808594	-71.644600
904.541016	-71.736435
905.273438	-72.719955
906.005859	-71.293236
906.738281	-71.043144
907.470703	-70.776627
908.203125	-70.425087
908.935547	-70.476219
909.667969	-71.639130
910.400391	-71.294044
911.132812	-70.902519
911.865234	-69.961098
912.597656	-71.563141
913.330078	-69.965050
914.062500	-69.790016
914.794922	-71.807213
915.527344	-69.366959
916.259766	-70.560631
916.992188	-70.891937
917.724609	-69.185432
918.457031	-68.611382
919.189453	-71.812614
919.921875	-70.048309
920.654297	-69.798927
921.386719	-69.423088
922.119141	-69.676590
922.851562	-70.350014
923.583984	-71.010315
924.316406	-69.460007
925.048828	-70.614647
925.781250	-68.780708
926.513672	-68.409569
927.246094	-69.992256
